game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021700001,2017-2018 Regular Season,10/17/2017,Gordon Hayward,Jayson Tatum,Al Horford,Jaylen Brown,Kyrie Irving,LeBron James,Jae Crowder,Kevin Love,Dwyane Wade,Derrick Rose,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021700001,2017-2018 Regular Season,10/17/2017,Gordon Hayward,Jayson Tatum,Al Horford,Jaylen Brown,Kyrie Irving,LeBron James,Jae Crowder,Kevin Love,Dwyane Wade,Derrick Rose,1,0,0,0:12:00,0:00:00,0:00:00,4,BOS,jump ball,,Al Horford,Kevin Love,,,,,,,Kevin Love,,Kyrie Irving,,,,jump ball,,,,,,Jump Ball Love vs. Horford: Tip to Irving
0021700001,2017-2018 Regular Season,10/17/2017,Gordon Hayward,Jayson Tatum,Al Horford,Jaylen Brown,Kyrie Irving,LeBron James,Jae Crowder,Kevin Love,Dwyane Wade,Derrick Rose,1,2,0,0:11:44,0:00:16,0:00:16,7,BOS,shot,Al Horford,,,,,,,,,Kyrie Irving,2,,,made,,unknown,10,-1,100,25.1,15,Irving 10' Driving Floating Jump Shot (2 PTS) (Horford 1 AST)
0021700001,2017-2018 Regular Season,10/17/2017,Gordon Hayward,Jayson Tatum,Al Horford,Jaylen Brown,Kyrie Irving,LeBron James,Jae Crowder,Kevin Love,Dwyane Wade,Derrick Rose,1,2,0,0:11:27,0:00:33,0:00:17,9,CLE,miss,,,,Al Horford,,,,,,Derrick Rose,0,,,missed,,Layup,2,-18,4,23.2,88.6,"Horford BLOCK (1 BLK), MISS Rose 2' Layup"
0021700001,2017-2018 Regular Season,10/17/2017,Gordon Hayward,Jayson Tatum,Al Horford,Jaylen Brown,Kyrie Irving,LeBron James,Jae Crowder,Kevin Love,Dwyane Wade,Derrick Rose,1,2,0,0:11:23,0:00:37,0:00:04,11,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
0021700001,2017-2018 Regular Season,10/17/2017,Gordon Hayward,Jayson Tatum,Al Horford,Jaylen Brown,Kyrie Irving,LeBron James,Jae Crowder,Kevin Love,Dwyane Wade,Derrick Rose,1,2,0,0:11:21,0:00:39,0:00:02,12,BOS,miss,,,,,,,,,,Gordon Hayward,0,,,missed,,Jump Shot,25,-214,138,46.4,18.8,MISS Hayward 25' 3PT Jump Shot
0021700001,2017-2018 Regular Season,10/17/2017,Gordon Hayward,Jayson Tatum,Al Horford,Jaylen Brown,Kyrie Irving,LeBron James,Jae Crowder,Kevin Love,Dwyane Wade,Derrick Rose,1,2,0,0:11:18,0:00:42,0:00:03,13,CLE,rebound,,,,,,,,,,Derrick Rose,,,,,,rebound defensive,,,,,,Rose REBOUND (Off:0 Def:1)
0021700001,2017-2018 Regular Season,10/17/2017,Gordon Hayward,Jayson Tatum,Al Horford,Jaylen Brown,Kyrie Irving,LeBron James,Jae Crowder,Kevin Love,Dwyane Wade,Derrick Rose,1,2,0,0:11:02,0:00:58,0:00:16,14,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Jump Shot,16,-131,83,11.9,80.7,MISS Love 16' Jump Shot
0021700001,2017-2018 Regular Season,10/17/2017,Gordon Hayward,Jayson Tatum,Al Horford,Jaylen Brown,Kyrie Irving,LeBron James,Jae Crowder,Kevin Love,Dwyane Wade,Derrick Rose,1,2,0,0:10:59,0:01:01,0:00:03,15,BOS,rebound,,,,,,,,,,Jaylen Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
0021700001,2017-2018 Regular Season,10/17/2017,Gordon Hayward,Jayson Tatum,Al Horford,Jaylen Brown,Kyrie Irving,LeBron James,Jae Crowder,Kevin Love,Dwyane Wade,Derrick Rose,1,2,0,0:10:51,0:01:09,0:00:08,16,BOS,miss,,,,LeBron James,,,,,,Jayson Tatum,0,,,missed,,unknown,3,10,23,24,7.3,"MISS Tatum 3' Cutting Layup Shot, James BLOCK (1 BLK)"
